# Number of Epochs,Number of Nodes,Number of Aggregators,Number of Disseminators,Standard Deviation (SUM),Accuracy (SUM),Standard Deviation (AVG),Accuracy (AVG),Standard Deviation (MIN),Accuracy (MIN),Standard Deviation (MAX),Accuracy (MAX),Standard Deviation (COUNT),Accuracy (COUNT),Standard Deviation (SUMSQR),Accuracy (SUMSQR),Standard Deviation (STDDEV),Accuracy (STDDEV),Number of Updates,Number of Exploitations,Number of Duplicates,Number of Inconsistencies,Number of PUSH Messages,Num of PULL Messages,Number of Messages
0,400,20,400,-,-331.5134,-,0.1687,-,0.4294,-,0.0295,-,-399,-,-277.3724,-,0.9232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,400,20,400,-,-331.5134,-,0.1687,-,0.4294,-,0.0295,-,-399,-,-277.3724,-,0.9232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,400,20,400,-,-331.5134,-,0.1687,-,0.4294,-,0.0295,-,-399,-,-277.3724,-,0.9232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,400,20,400,-,-331.5134,-,0.1687,-,0.4294,-,0.0295,-,-399,-,-277.3724,-,0.9232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,400,20,400,-,-331.5134,-,0.1687,-,0.4294,-,0.0295,-,-399,-,-277.3724,-,0.9232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,400,20,400,-,-331.5134,-,0.1687,-,0.4294,-,0.0295,-,-399,-,-277.3724,-,0.9232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,400,20,400,-,-331.5134,-,0.1687,-,0.4294,-,0.0295,-,-399,-,-277.3724,-,0.9232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,400,20,400,-,-331.5134,-,0.1687,-,0.4294,-,0.0295,-,-399,-,-277.3724,-,0.9232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,400,20,400,-,-331.5134,-,0.1687,-,0.4294,-,0.0295,-,-399,-,-277.3724,-,0.9232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,400,20,400,-,-331.5134,-,0.1687,-,0.4294,-,0.0295,-,-399,-,-277.3724,-,0.9232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,400,20,400,-,-331.5134,-,0.1687,-,0.4294,-,0.0295,-,-399,-,-277.3724,-,0.9232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,400,20,400,-,-331.5134,-,0.1687,-,0.4294,-,0.0295,-,-399,-,-277.3724,-,0.9232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,400,20,400,-,-331.5134,-,0.1687,-,0.4294,-,0.0295,-,-399,-,-277.3724,-,0.9232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,400,20,400,-,-331.5134,-,0.1687,-,0.4294,-,0.0295,-,-399,-,-277.3724,-,0.9232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,400,20,400,0.7273,-331.2305,0.7273,0.4516,0.7273,0.7123,0.7273,0.3124,0.8062,-398.65,0.6615,-277.1427,-,0.9232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,400,20,400,0.9114,-315.7394,0.0136,0.9974,0.0679,0.8877,0.026,0.9606,1.0207,-379.95,0.8235,-264.2188,0.0529,0.9889,0.0,361.0,0.0,0.0,377.0,361.0,738.0
16,400,20,400,1.0619,-285.6494,0.0094,0.9992,0.0582,0.9226,0.0131,0.9849,1.1505,-343.8,0.9864,-239.0115,0.0234,0.9902,0.0,723.0,1.0,0.0,717.0,724.0,1441.0
17,400,20,400,0.9101,-257.4857,0.0066,0.9981,0.0593,0.9435,0.0077,0.9899,0.9959,-310.15,0.8378,-215.2894,0.0157,0.9903,0.0,673.0,4.0,0.0,678.0,677.0,1355.0
18,400,20,400,0.9181,-234.725,0.0065,0.9986,0.0546,0.9576,0.0075,0.9915,1.0151,-282.75,0.8377,-196.2464,0.0139,0.9911,0.0,548.0,3.0,0.0,553.0,551.0,1104.0
19,400,20,400,0.9171,-212.9839,0.0054,0.9997,0.0455,0.9681,0.0072,0.9925,1.0098,-256.45,0.84,-178.1296,0.0136,0.9923,0.0,526.0,9.0,0.0,533.0,535.0,1068.0
20,400,20,400,0.8826,-192.3893,0.0047,0.9989,0.0454,0.9693,0.007,0.9927,0.9711,-231.85,0.8091,-160.784,0.0125,0.9918,0.0,492.0,1.0,0.0,500.0,493.0,993.0
21,400,20,400,0.9266,-174.9288,0.0035,0.9993,0.0371,0.9728,0.0067,0.9934,1.0162,-210.8,0.8506,-146.1928,0.0112,0.9922,0.0,421.0,4.0,0.0,419.0,425.0,844.0
22,400,20,400,0.9761,-158.9386,0.0028,0.999,0.0368,0.9757,0.0064,0.9948,1.0725,-191.65,0.8933,-132.7491,0.0108,0.9923,0.0,383.0,6.0,0.0,390.0,389.0,779.0
23,400,20,400,0.9687,-143.9416,0.0024,1,0.0317,0.9791,0.0061,0.9955,1.0575,-173.35,0.8923,-120.3806,0.009,0.9921,0.0,366.0,6.0,0.0,373.0,372.0,745.0
24,400,20,400,0.9983,-128.9751,0.0027,0.9997,0.0231,0.9876,0.0057,0.9957,1.0873,-155.45,0.9205,-107.7684,0.0067,0.9925,0.0,358.0,2.0,0.0,360.0,360.0,720.0
25,400,20,400,0.9427,-116.945,0.0025,0.9996,0.0231,0.9876,0.0049,0.9971,1.0272,-141,0.8696,-97.6912,0.0065,0.9923,0.0,289.0,1.0,0.0,287.0,290.0,577.0
